[REFCODE]	[_publ_authors]	[_journal_name_full]	[_journal_volume]	[_journal_pages]	[_journal_year]	[_chemical_formula_moiety]	[_chemical_name_systematic]	[_chemical_name_common]	[_chemical_compound_source]	[_chemical_melting_point]	[_exptl_crystal_colour]	[_chemical_QUAL]	[_chemical_NOTE]	[_symmetry_space_group_name]	[_symmetry_Int_Tables_number]	[_cell_length_a]	[_cell_length_b]	[_cell_length_c]	[_cell_angle_alpha]	[_cell_angle_beta]	[_cell_angle_gamma]	[_cell_volume]	[_rcell_length_a]	[_rcell_length_b]	[_rcell_length_c]	[_rcell_angle_alpha]	[_rcell_angle_beta]	[_rcell_angle_gamma]	[_rcell_volume]	[_molecular_volume]	[_cell_RESIDUES]	[_cell_formula_units_Z]	[_cell_formula_units_Zprime]	[_exptl_crystal_preparation]	[_exptl_crystal_description]	[POLYMORPH]	[_exptl_crystal_NOTES]	[_refine_ls_R_factor]	[_cell_measurement_temperature]	[_exptl_crystal_density_CCDC]	[_exptl_crystal_density_diffrn]	[_diffrn_measurement_device]	[_exptl_DISORDER]	[_exptl_QUAL]	[_ccdc_REMARK]	
ACITEN	R.P.Sharma, A.Singh, P.Venugopalan, A.Rodriguez-Dieguez, J.M.Salas	Polyhedron 	47	173	2012	C25 H16 Co1 N4 O3 1+,C7 H3 Cl1 N1 O4 1-,4(H2 O1)	(Carbonato)-bis(1,10-phenanthroline)-cobalt(iii) 4-chloro-2-nitrobenzoate tetrahydrate			205 deg.C (dec.)	brown			P-1	2	11.907	12.789	15.475	109.732	110.525	116.576	1593.059	11.907	12.07104	12.789	100.6813	116.576	93.6079	1593.059	796.5295	3	2.0	1.0		prismatic			4.73	100	1.568	1.568	3				
ACOHOS	K.Shakuntala, S.Naveen, N.K.Lokanath, P.A.Suchetan, M.Abdoh	Acta Crystallogr.,Sect.C:Cryst.Struct.Chem. 	73	833	2017	C14 H13 Cl2 N1 O4 S1	N-(2,4-dichlorophenyl)-2,5-dimethoxybenzene-1-sulfonamide				colorless			P-1	2	7.4855	8.1175	13.9643	98.151	95.566	114.952	749.836	7.4855	8.1175	13.9643	98.151	95.566	114.952	749.836	374.918	1	2.0	1.0		Prism			3.4	296	1.604	1.604	3		296 K		
ADAPIF	Peng-Wu Zheng, Qiao-Mei Qiu, Yu-Yan Lin, Ke-Fan Liu	Acta Crystallogr.,Sect.E:Struct.Rep.Online 	62	o1913	2006	C14 H8 Cl4 N2	N,N'-bis(2,6-Dichlorobenzylidene)hydrazine			428-429 K	light yellow			P21/n	14	4.265	13.548	25.593	90.0	94.008	90.0	1475.204	4.265	13.548	25.593	90.0	94.008	90.0	1475.204	368.801	1	4.0	1.0	THF	block			3.96	294	1.558	1.558	3		at 294 K		
ADEDAP	Lan Mo, Wei Wang, Qiang Li, Xiao-Guang Jia	Acta Crystallogr.,Sect.E:Struct.Rep.Online 	62	o2158	2006	C11 H9 Cl1 O2	3-(4-Chlorobenzylidene)tetrahydrofuran-2-one			415 K	colorless			P21/c	14	15.998	5.2993	12.336	90.0	111.215	90.0	974.947	5.2993	12.336	15.998	111.215	90.0	90.0	974.947	243.73675	1	4.0	1.0	ethyl acetate/petroleum ether	block			4.42	293	1.421	1.421	3		at 293 K		
ADUDIO	S.Ali, A.Saeed, N.Abbas, Md.Shahid, M.Bolte, J.Iqbal	MedChemComm 	3	1428	2012	C19 H11 Br1 Cl2 N2 O4 S1	Methyl (2-((2-bromobenzoyl)imino)-3-(2,4-dichlorophenyl)-4-oxo-1,3-thiazolidin-5-ylidene)acetate				light brown			P-1	2	9.2497	10.8904	11.0733	84.708	73.497	69.745	1003.336	9.2497	10.8904	11.0733	84.708	73.497	69.745	1003.336	501.668	1	2.0	1.0		block			6.76	173	1.702	1.702	3				
AFAZAJ	R.R.Kumar, S.Perumal	Tetrahedron 	63	7850	2007	C26 H22 Cl2 N2 S1	11-(2-Chlorophenyl)-4-((2-chlorophenyl)methylidene)-2-methyl-1,2,3,4,11,11a-hexahydropyrido(3,4-c)(1,5)benzothiazepine			172-173 deg.C	yellow			P-1	2	7.935	10.206	14.933	76.58	86.48	79.15	1155.095	7.935	10.206	14.933	76.58	86.48	79.15	1155.095	577.5475	1	2.0	1.0					5.42	293	1.338	1.338	3		at 293 K		
AFAZIT	A.Abdurahman, Yingxin Chen, Xin Ai, O.Ablikim, Yu Gao, Shengzhi Dong, Bao Li, Bing Yang, Ming Zhang, Feng Li	J.Mater.Chem.C 			2018	C24 H11 Cl6 N2	9-[bis(2,4,6-trichlorophenyl)methyl]-9H-beta-carboline radical				colorless			P21/c	14	16.6879	8.2499	17.2222	90.0	107.757	90.0	2258.081	8.2499	16.6879	17.2222	107.757	90.0	90.0	2258.081	564.52025	1	4.0	1.0		block			5.16	273	1.589	1.589	3				
AFIGUS	B.T.Gowda, S.Foro, H.Fuess	Acta Crystallogr.,Sect.E:Struct.Rep.Online 	63	o3709	2007	C8 H7 Cl2 N1 O1	N-(2,5-Dichlorophenyl)acetamide				white			P21/n	14	5.8557	4.7942	31.822	90.0	90.531	90.0	893.313	4.7942	5.8557	31.822	90.531	90.0	90.0	893.313	223.32825	1	4.0	1.0		prism			5.46	299	1.517	1.517	3		at 299 K		
AFIQIQ	G.Bentabed-Ababsa, A.Derdour, T.Roisnel, J.A.Saez, L.R.Domingo, F.Mongin	Org.Biomol.Chem. 	6	3144	2008	C19 H12 Cl1 N3 O3	cis-2-(4-Chlorophenyl)-5,5-dicyano-1'-methyl-spiro(1,3-dioxolane-4,3'-indolin)-2'-one				colorless	for stereoisomer see [COJZOR]		C2/c	15	21.887	6.6306	23.23	90.0	90.527	90.0	3371.087	6.6306	11.43466	23.23	90.5044	90.0	106.854	1685.544	421.385875	1	8.0	1.0	acetone	prism			4.51	100	1.441	1.441	3				
AFONEP	Shao-Ming Shi, Zhen-Feng Chen, Yan-Cheng Liu, Li Mao, Hong Liang, Zhong-Yuan Zhou	J.Coord.Chem. 	61	2725	2008	C80 H52 Cl8 Eu2 N8 O12 2+,2(Cl1 O4 1-)	bis(mu!2$-2,4-Dichlorophenoxyacetato-O,O,O')-bis(mu!2$-2,4-dichlorophenoxyacetato-O,O')-tetrakis(1,10-phenanthroline)-di-europium(iii) diperchlorate				colorless			P21/n	14	13.0863	17.352	18.811	90.0	104.521	90.0	4135.03	13.0863	17.352	18.811	90.0	104.521	90.0	4135.03	2067.515	2	2.0	0.5		prism			4.05	294	1.69	1.69	3		at 294 K		
AFUGUE	Pu-Su Zhao, Huan-Mei Guo, Xian Wang, Fang-Fang Jian	J.Chin.Chem.Soc.(Taipei) 	55	183	2008	C21 H15 Cl3 N2	1-Phenyl-3-(2,4-dichlorophenyl)-5-(4-chlorophenyl)-4,5-dihydro-1H-pyrazole			128.5-129.5 deg.C				P21/c	14	8.4779	15.706	14.185	90.0	97.98	90.0	1870.498	8.4779	14.185	15.706	90.0	90.0	97.98	1870.498	467.6245	1	4.0	1.0	diethyl ether				6.77	293	1.427	1.426	3		at 293 K		
AFUMIZ	Y.Ishikawa, Y.Motohashi	Acta Crystallogr.,Sect.E:Struct.Rep.Online 	69	o1226	2013	C21 H15 Cl2 N1 O2	6,8-Dichloro-3-(((1-naphthylmethyl)amino)methylene)-2,3-dihydro-4H-chromen-4-one	(E)-6,8-Dichloro-3-([(naphthalen-1-ylmethyl)iminio]methyl)-2H-chihromen-4-olate			yellow			P21/c	14	16.286	8.91	12.008	90.0	102.65	90.0	1700.164	8.91	12.008	16.286	102.65	90.0	90.0	1700.164	425.041	1	4.0	1.0		block			3.33	100	1.501	1.501	3				
AFUTAY	Y.Jeon, J.Kim, S.Cho, T.H.Kim	Acta Crystallogr.,Sect.E:Struct.Rep.Online 	69	o1206	2013	C14 H9 Cl2 N1 O5	Methyl 5-(2,4-dichlorophenoxy)-2-nitrobenzoate	Bifenox			colorless			P-1	2	8.4945	9.961	10.3969	64.601	68.72	70.421	723.484	8.4945	9.961	10.3969	64.601	68.72	70.421	723.484	361.742	1	2.0	1.0		block			4.7	173	1.571	1.57	3				
AGABIT	J.N.Low, J.Cobo, M.Nogueras, A.Sanchez, H.Torres, B.Insuasty	Acta Crystallogr.,Sect.C:Cryst.Struct.Commun. 	58	o305	2002	C22 H18 Cl1 N3	2-(4-Chlorophenyl)-5-phenyl-1,5,6,10b-tetrahydropyrazolo(1,5-c)quinazoline			507 K	colorless			C2/c	15	21.2115	11.1385	17.5948	90.0	122.427	90.0	3508.841	11.1385	11.97909	15.9044	76.8215	69.5023	62.2953	1754.421	438.605125	1	8.0	1.0	hexane/ethyl acetate	block			4.7	120	1.362	1.362	3				
AGAGEW	Yong-Qiang Zhang, Yong-An Yuan, Guan-Sai Liu, Hao Xu	Org.Lett. 	15	3910	2013	C23 H16 Cl2 N2 O6 S1,C3 H6 O1	2'-Oxo-1-(phenylsulfonyl)-1,2-dihydrospiro[indole-3,4'-[1,3]oxazolidin]-2-yl 2,4-dichlorobenzoate acetone solvate				colorless			P212121	19	9.679	11.8883	22.4824	90.0	90.0	90.0	2586.979	9.679	11.8883	22.4824	90.0	90.0	90.0	2586.979	646.74475	2	4.0	1.0		trapezoid			4.82	173	1.483	1.483	3				
AGEGUQ	Y.Zheng	Acta Crystallogr.,Sect.E:Struct.Rep.Online 	69	o1190	2013	C14 H10 Br2 Cl1 N1 O1	2,4-Dibromo-6-(((5-chloro-2-methylphenyl)imino)methyl)phenol				yellow			C2/c	15	31.603	6.1828	14.89	90.0	102.594	90.0	2839.43	6.1828	14.89	16.10106	102.356	101.0695	90.0	1419.715	354.92875	1	8.0	1.0	dichloromethane	block			3.83	295	1.888	1.888	3		at 295 K		
AGETEO	M.A.P.Martins, A.R.Meyer, P.R.S.Salbego, D.M.dos Santos, G.A.de Moraes, H.G.Bonacorso, N.Zanatta, C.P.Frizzo, M.Horner	Molecules 	23	22	2018	C33 H18 Cl6 N6	5,5',5''-(benzene-1,3,5-triyl)tris[1-(2,4-dichlorophenyl)-1H-pyrazole]				colorless			P21/n	14	10.3914	31.6622	10.5723	90.0	110.858	90.0	3250.484	10.3914	10.5723	31.6622	90.0	90.0	110.858	3250.484	812.621	1	4.0	1.0		block			8.18	296	1.453	1.453	3		296 K		
AGOTAT	G.Smith, U.D.Wermuth	Acta Crystallogr.,Sect.E:Struct.Rep.Online 	69	o1546	2013	C7 H10 N1 O1 1+,C8 H3 Cl2 O4 1-	4-Methoxyanilinium 2-carboxy-4,5-dichlorobenzoate	4-methoxyanilinium hydrogen 4,5-dichlorophthalate		473 K	colorless			C2221	20	7.5319	12.9302	32.3268	90.0	90.0	90.0	3148.274	7.48197	7.48197	32.3268	90.0	90.0	119.558	1574.137	393.53425	2	8.0	1.0		plate			6.68	200	1.511	1.511	3				
AGUZAD	K.M.Barkigia, M.Palacio, Yu Sun, M.Nogues, M.W.Renner, F.Varret, P.Battioni, D.Mansuy, J.Fajer	Inorg.Chem. 	41	5647	2002	C44 H16 Cl8 Fe1 N12 O18,2(C3 H6 O1)	Diaqua-(5,10,15,20-tetrakis(2,6-dichlorophenyl)-2,3,7,8,12,13,17,18-octanitroporphyrinato)-iron(ii) acetone solvate				red			C2/c	15	17.244	27.055	13.712	90.0	112.21	90.0	5922.509	13.712	16.04158	16.04158	114.9757	101.7223	101.7223	2961.256	1480.62725	2	4.0	0.5	acetone/hexanes	thin plate			6.1	100	1.633	1.633	3		synchrotron radiation		
AHIJIM	S.G.Thangavelu, S.J.A.Pope, C.L.Cahill	CrystEngComm 	17	6236	2015	C52 H30 Cl2 N12 O12 U2,4(H2 O1)	bis(mu-2-chloroterephthalato)-tetraoxo-bis(2,4,6-tris(pyridin-2-yl)-1,3,5-triazine)-di-uranium tetrahydrate				yellow			P-1	2	8.0819	12.6732	13.3764	100.472	91.219	98.444	1331.013	8.0819	12.6732	13.3764	100.472	91.219	98.444	1331.013	1331.013	2	1.0	0.5		block			4.34	298	2.038	2.028	3		298 K		
AJAGOH	Tzy-Jiun M.Luo, G.T.R.Palmore	Cryst.Growth Des. 	2	337	2002	C4 H6 N2 O2,C6 H4 Cl2 O2	Piperazine-2,5-dione 2,5-dichloro-1,4-hydroquinone	Cyclo(glycyl-glycyl) 2,5-dichloro-1,4-hydroquinone; PEPSEQ C=2 GLY-GLY-		above 300 deg.C	colorless			P21/n	14	8.895	5.1184	12.39	90.0	107.169	90.0	538.957	5.1184	8.895	12.39	107.169	90.0	90.0	538.957	269.4785	2	2.0	0.5	methanol/water	stick			3.68	90	1.806	1.806	3				
AJALEC	C.B.Aakeroy, A.M.Beatty, B.A.Helfrich, M.Nieuwenhuyzen	Cryst.Growth Des. 	3	159	2003	2(C7 H6 Cl1 N1 O1),C4 H4 O4	bis(4-Chlorobenzamide) fumaric acid			174-178 deg.C	colorless			P-1	2	9.2674	10.1386	10.4805	86.428	72.174	89.506	935.577	9.2674	10.1386	10.4805	86.428	72.174	89.506	935.577	467.7885	2	2.0	1.0	ethanol	plate			3.89	203	1.517	1.517	3				
AJIHEH	L.Kirsten, G.Steyl	Acta Crystallogr.,Sect.E:Struct.Rep.Online 	65	m1565	2009	C36 H24 Br2 Cl6 P2 Pd1	trans-Dibromido-bis(tris(4-chlorophenyl)phosphine)-palladium(ii)	trans-Dibromo-bis(tris(p-chlorophenyl)phosphine)-palladium(ii)			orange			P21/n	14	10.3453	17.4489	10.618	90.0	103.385	90.0	1864.635	10.3453	10.618	17.4489	90.0	90.0	103.385	1864.635	932.3175	1	2.0	0.5		cuboid		Isostructural with the dichloro analogue	2.63	100	1.777	1.776	3				
AJIROA	D.Maspoch, D.Ruiz-Molina, K.Wurst, C.Rovira, J.Veciana	Polyhedron 	22	1929	2003	C50 H14 Cl28 Co1 N2 O6,2(C35 H17 Cl15 Co1 N3 O3),2(C5 H5 N1),2(C4 H8 O1)	Diaqua-dipyridyl-bis(4-(bis(2,3,4,5,6-pentachlorophenyl)methyl)-2,3,5,6-tetrachlorobenzoato-O)-cobalt(ii) bis(aqua-chloro-tripyridyl-(4-(bis(2,3,4,5,6-pentachlorophenyl)methyl)-2,3,5,6-tetrachlorobenzoato-O))-cobalt(ii) pyridine tetrahydrofuran solvate			271-273deg.C	red			P-1	2	8.5863	18.084	28.164	95.962	95.45	101.243	4236.164	8.5863	18.084	28.164	95.962	95.45	101.243	4236.164	4236.164	4	1.0	0.5		plate			5.48	223	1.697	1.697	3				
AJITOD	B.Kosar, C.Albayrak, M.Odabasoglu, O.Buyukgungor	Acta Crystallogr.,Sect.C:Cryst.Struct.Commun. 	65	o517	2009	C14 H12 Cl1 N1 O2	(E)-2-((4-Chlorophenyl)iminomethyl)-5-methoxyphenol			396-397K	yellow			P21/c	14	5.5859	8.9617	25.333	90.0	93.88	90.0	1265.242	5.5859	8.9617	25.333	90.0	93.88	90.0	1265.242	316.3105	1	4.0	1.0	ethanol	prism			3.77	293	1.374	1.374	3		at 293 K		
AJORID	N.Sundaravelu, S.Guha, G.Sekar	J.Org.Chem. 	85	5895	2020	C21 H12 Cl2 O1 S2	2,3-bis[(4-chlorophenyl)sulfanyl]-1H-inden-1-one				red			P-1	2	8.2801	10.9055	11.3166	72.0273	79.5744	77.9792	943.187	8.2801	10.9055	11.3166	72.0273	79.5744	77.9792	943.187	471.5935	1	2.0	1.0		Block			3.69	296	1.463	1.462	3		296 K		
AJOSOK	Xiao Yang, Di Zhang, Yinhui Liao, Dahui Zhao	J.Org.Chem. 	85	5761	2020	C60 H34 Cl15 O1	3,5-di-t-butyl-1',3',6',8',11',13'-hexachloro-4-oxo-5',10',15'-tris(2,4,6-trichlorophenyl)-10'H-spiro[cyclohexa-2,5-diene-1,16'-[4b,9b]ethanodiindeno[1,2-a:1',2'-c]fluoren[10]yl radical]				brown			P-1	2	12.3314	13.6344	17.26	86.933	83.316	88.246	2877.223	12.3314	13.6344	17.26	86.933	83.316	88.246	2877.223	1438.6115	1	2.0	1.0		block			3.83	180	1.504	1.504	3				
AJOXUV	Xin Yang, Rui Wei, Yaping Shi, Liu Leo Liu, Yile Wu, Yufen Zhao, D.W.Stephan	Chem.Commun. 	57	1194	2021	C32 H42 Cl10 O14 P2 V2,2(C4 H8 O1)	bis(mu-ethyl 2,3,4,5-tetrachloro-6-oxidophenyl phosphato)-dichloro-tetrakis(tetrahydrofuran)-di-vanadium(ii) tetrahydrofuran solvate				green			P-1	2	14.4834	14.9881	15.571	107.35	117.247	98.551	2701.478	14.4834	14.9881	15.571	107.35	117.247	98.551	2701.478	1350.739	2	2.0	1.0		block			4.24	100	1.614	1.614	3				
AJUDUG	Suo-Ping Xu, G.Xu, Y.Pei, H.L.Zhu	Koord.Khim.(Russ.)(Coord.Chem.) 	40	63	2014	C44 H30 Cl4 Mn1 O12	Diaqua-bis(4-(3-(4-chlorophenyl)-1-oxy-3-oxoprop-1-en-1-yl)-3-hydroxyphenyl 4-chlorobenzoate-O,O')-manganese(ii)							P-1	2	6.92	13.0699	15.0201	107.28	101.719	104.607	1197.063	6.92	13.0699	15.0201	107.28	101.719	104.607	1197.063	1197.063	1	1.0	0.5					7.3	293	1.314	1.314	3		293 K		
AJUMUP	C.H.Dai, Fu-Lin Mao	Koord.Khim.(Russ.)(Coord.Chem.) 	40	120	2014	C16 H14 Cl2 Co1 N5 O3	Aqua-azido-(2,2'-(ethane-1,2-diylbis((nitrilo)methylylidene))bis(4-chlorophenolato))-cobalt(iii)				brown			P21/c	14	13.6794	11.1454	12.4934	90.0	110.553	90.0	1783.531	11.1454	12.4934	13.6794	110.553	90.0	90.0	1783.531	445.88275	1	4.0	1.0		block			3.6	298	1.691	1.691	3		298 K		
AKAHOK	A.K.Jami, M.S.R.Prabhu, V.Baskar	Organometallics 	29	1137	2010	C84 H62 Cl4 N8 O11 Sb4,C15 H12 N2 O1,2(C7 H8)	pentakis(mu!2$-Oxo)-dihydroxy-tetrakis((2-(5-phenyl-1H-pyrazol-3-yl)phenolato)-(4-chlorophenyl))-tetra-antimony 2-(5-phenyl-1H-pyrazol-3-yl)phenol toluene solvate			175deg.C(dec)	colorless			P-1	2	14.0727	17.181	21.7428	93.338	105.911	99.635	4954.182	14.0727	17.181	21.7428	93.338	105.911	99.635	4954.182	2477.091	3	2.0	1.0		block			3.51	100	1.615	1.615	3				
AKAJIG	A.K.Jami, M.S.R.Prabhu, V.Baskar	Organometallics 	29	1137	2010	C96 H72 Cl16 O36 Sb16,6(C5 H8 N2)	octakis(mu!3$-Hydroxo)-octacosakis(mu!2$-oxo)-hexadecakis(4-chlorophenyl)-hexadeca-antimony 3,5-dimethyl-1H-pyrazole solvate			decomposes at 150deg.C	colorless			P21/n	14	18.4669	19.0133	25.074	90.0	108.453	90.0	8351.236	18.4669	19.0133	25.074	90.0	108.453	90.0	8351.236	4175.618	2	2.0	0.5		block			4.83	100	1.946	1.946	3			isostructural with the core Br analogue	
AKENOW	Fang-Hua Zhao, Zhong-Lin Li, Ya-Hua Yu, Shi-Ying Fan, Xiao-Wen Guo, Zi-Hao Zhao	J.Cluster Sci. 	32	45	2021	C56 H24 Cl16 Er2 O16 2-,C44 H28 Cl4 Cu2 N6 O4 2+,2(H2 O1)	bis(mu-3,5-dichlorobenzoato)-bis(1$2!,2$2!:2$6!,3$2!-terpyridine)-di-copper tetrakis(mu-3,5-dichlorobenzoato)-tetrakis(3,5-dichlorobenzoato)-di-erbium dihydrate				blue			P-1	2	14.2087	14.2621	15.3012	67.466	65.358	83.198	2600.011	14.2087	14.2621	15.3012	67.466	65.358	83.198	2600.011	2600.011	3	1.0	0.5		block			3.82	153	1.829	1.829	3				
AKINEO	E.J.Fernandez, A.Garau, A.Laguna, T.Lasanta, V.Lippolis, J.M.Lopez-de-Luzuriaga, M.Montiel, M.E.Olmos	Organometallics 	29	2951	2010	C26 H24 Au1 Cl10 N2 O2 Tl1	(4,4'-(Butane-1,4-diyldiimino)-bis(pent-3-en-2-one))-bis(pentachlorophenyl)-gold-thallium	mon190			yellow			P21/a	14	10.5447	12.0192	26.9038	90.0	90.956	90.0	3409.282	10.5447	12.0192	26.9038	90.0	90.956	90.0	3409.282	852.3205	1	4.0	1.0		prism			5.4	223	2.245	2.245	3				
AKIZAV	Jun Xia, Xian-Jiang Wang, Xuan-Ju Sun, Hai-Liang Zhu, Da-Qi Wang	Z.Kristallogr.-New Cryst.Struct. 	218	247	2003	C2 H10 N2 2+,2(C7 H4 Cl1 O2 1-)	Ethylenediammonium bis(4-chlorobenzoate)				colorless			C2/c	15	21.916	9.015	8.62	90.0	96.151	90.0	1693.272	8.62	9.015	11.84885	112.3595	95.687	90.0	846.636	423.318	2	4.0	0.5		prism			6.39	298	1.464	1.464	3		at 298 K		
ALASEM	Changsheng Yao, Bei Jiang, Tuanjie Li, Bingbin Qin, Xiaodong Feng, Honghong Zhang, Cuihua Wang, Shujiang Tu	Bioorg.Med.Chem.Lett. 	21	599	2011	C17 H15 Cl2 N1 O4	Ethyl 2-amino-4-(2,4-dichlorophenyl)-5-oxo-4,5,6,7-tetrahydrocyclopenta[b]pyran-3-carboxylate				colorless			C2/c	15	20.361	8.793	17.998	90.0	98.798	90.0	3184.345	8.793	11.08927	17.998	98.072	90.0	113.3574	1592.172	398.043125	1	8.0	1.0		prism			7.87	116	1.536	1.536	3				
