[REFCODE]	[_publ_authors]	[_journal_name_full]	[_journal_volume]	[_journal_pages]	[_journal_year]	[_chemical_formula_moiety]	[_chemical_name_systematic]	[_chemical_name_common]	[_chemical_compound_source]	[_chemical_melting_point]	[_exptl_crystal_colour]	[_chemical_QUAL]	[_chemical_NOTE]	[_symmetry_space_group_name]	[_symmetry_Int_Tables_number]	[_cell_length_a]	[_cell_length_b]	[_cell_length_c]	[_cell_angle_alpha]	[_cell_angle_beta]	[_cell_angle_gamma]	[_cell_volume]	[_rcell_length_a]	[_rcell_length_b]	[_rcell_length_c]	[_rcell_angle_alpha]	[_rcell_angle_beta]	[_rcell_angle_gamma]	[_rcell_volume]	[_molecular_volume]	[_cell_RESIDUES]	[_cell_formula_units_Z]	[_cell_formula_units_Zprime]	[_exptl_crystal_preparation]	[_exptl_crystal_description]	[POLYMORPH]	[_exptl_crystal_NOTES]	[_refine_ls_R_factor]	[_cell_measurement_temperature]	[_exptl_crystal_density_CCDC]	[_exptl_crystal_density_diffrn]	[_diffrn_measurement_device]	[_exptl_DISORDER]	[_exptl_QUAL]	[_ccdc_REMARK]	[PREF]	[BATC]	[ADAT]	[MDAT]	[NBSI]	[CDRE]	[MSDB]	[NBIT]	[MATF]	[CATF]	[CCOM]	[_ccdc_NOTES]	[_ccdc_RMARKS]	[_ccdc_QUAL]	[_ccdc_PROPS]	
NANTEF	J.Sarcevic, T.Heitkemper, C.P.Sindlinger	Chem.Commun. 	58	246	2021	C52 H81 B1 Ge1 Si2,0.5(C6 H14)	([1,3,4-tris(3,5-di-t-butylphenyl)-1H-borolediide-2,5-diyl]bis(trimethylsilane))-germanium hexane solvate				colorless			P21/n	14	13.6558	15.5207	26.337	90.0	99.937	90.0	5498.322	13.6558	15.5207	26.337	90.0	99.937	90.0	5498.322	1374.5805	2	4.0	1.0		block			3.14	100	1.074	1.074	3				NANTEF	0	20211208	20211223	0	0	0	123	3	3			"CCDC: CCDC 2119907 "DOI: 10.1039/D1CC06227A	"TEMP: 100 K	"COLOR: colorless "HABIT: block	
NARPIJ	T.Itabashi, K.Arashiba, H.Tanaka, K.Yoshizawa, Y.Nishibayashi	Organometallics 			2021	C29 H56 B1 I1 Mo1 N2 O2 P2,0.5(C6 H14)	{2,6-bis[(di-t-butylphosphino)methyl]pyridine}-hydrido-iodo-[(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)imino]-molybdenum n-hexane solvate				yellow			P21/c	14	14.9062	11.7733	22.4397	90.0	99.555	90.0	3883.425	11.7733	14.9062	22.4397	99.555	90.0	90.0	3883.425	970.85625	2	4.0	1.0		block			3.25	198	1.374	1.374	3				NARPIJ	0	20211210	20220208	0	0	0	197	3	3			"CCDC: CCDC 2095779 "DOI: 10.1021/acs.organomet.1c00597	"TEMP: 198 K	"COLOR: yellow "HABIT: block	
NAVSOW	K.Schwedtmann, M.Quest, B.J.Guddorf, J.Keuter, A.Hepp, M.Feldt, J.Droste, Michael Ryan Hansen, Felicitas Lips	Chem.-Eur.J. 	27	17361	2021	C55 H92 N6 Si8,0.5(C6 H14)	1,2,3,4-tetrakis(trimethylsilyl(mesityl)amino)-4-(1,3,4,5-tetramethyl-1H-imidazol-3-ium-2-yl)bicyclo[1.1.0]tetrasilan-2-ide n-hexane solvate				yellow			C2/c	15	50.2508	12.7309	21.9371	90.0	111.258	90.0	13079.083	12.7309	21.9371	25.9192	110.5769	104.2166	90.0	6539.543	1634.885375	2	8.0	1.0		plate			3.19	100	1.122	1.122	3				NAVSOW	0	20211213	20211228	0	0	0	158	3	3			"CCDC: CCDC 2105470 "DOI: 10.1002/chem.202103101	"TEMP: 100 K	"COLOR: yellow "HABIT: plate	
NAVSUC	K.Schwedtmann, M.Quest, B.J.Guddorf, J.Keuter, A.Hepp, M.Feldt, J.Droste, Michael Ryan Hansen, Felicitas Lips	Chem.-Eur.J. 	27	17361	2021	C55 H95 B1 N6 Si8,0.5(C6 H14),C4 H8 O1	1,2,3,4-tetrakis(trimethylsilyl(mesityl)amino)-2-trihydridoboranidyl-4-(1,3,4,5-tetramethyl-1H-imidazol-3-ium-2-yl)bicyclo[1.1.0]tetrasilane n-hexane tetrahydrofuran solvate				yellow			P21/c	14	22.687	16.3416	18.9955	90.0	99.749	90.0	6940.728	16.3416	18.9955	22.687	99.749	90.0	90.0	6940.728	1735.182	3	4.0	1.0		rod			3.42	100	1.14	1.14	3				NAVSUC	0	20211213	20211228	0	0	0	177	3	3			"CCDC: CCDC 2105471 "DOI: 10.1002/chem.202103101	"TEMP: 100 K	"COLOR: yellow "HABIT: rod	
RANSIM	K.Yuvaraj, A.Paparo, A.J.R.Matthews, C.Jones	Eur.J.Inorg.Chem. 	2021	4998	2021	C71 H102 Mg1 Mo1 N8,0.5(C6 H14)	(mu-dinitrogen)-(N-t-butyl-3,5-dimethylaniline)-((2,4,6-trimethylphenyl){4-[(2,4,6-trimethylphenyl)imino]pent-2-en-2-yl}amido)-tris(N-t-butyl-3,5-dimethylanilinato)-molybdenum-magnesium				orange			P21/n	14	22.2421	11.0114	29.8751	90.0	106.137	90.0	7028.623	11.0114	22.2421	29.8751	106.137	90.0	90.0	7028.623	1757.15575	2	4.0	1.0		block			3.99	123	1.163	1.163	3				RANSIM	0	20211019	20211218	0	0	0	147	3	3			"CCDC: CCDC 2110155 "DOI: 10.1002/ejic.202100815	"TEMP: 123 K	"COLOR: orange "HABIT: block	
SALFIY	Xin Zhang, Liu Leo Liu	Angew.Chem.,Int.Ed. 	60	27062	2021	C53 H64 Al1 N1 O5 W1,0.5(C6 H14)	(3,6-di-t-butyl-1,8-bis(3,5-di-t-butylphenyl)carbazolato)-pentacarbonyl-aluminium-tungsten n-hexane solvate				yellow			P21/n	14	19.3587	12.0128	22.4974	90.0	90.552	90.0	5231.577	12.0128	19.3587	22.4974	90.552	90.0	90.0	5231.577	1307.89425	2	4.0	1.0		block			3.48	100	1.332	1.332	3				SALFIY	0	20211113	20211228	0	0	0	157	3	3			"CCDC: CCDC 2105195 "DOI: 10.1002/anie.202111975	"TEMP: 100 K	"COLOR: yellow "HABIT: block	
WAWJEN	T.X.Gentner, M.J.Evans, A.R.Kennedy, S.E.Neale, C.L.McMullin, M.P.Coles, R.E.Mulvey	Chem.Commun. 	58	1390	2022	C56 H92 Al2 N4 O2 Rb2 Si4,0.5(C6 H14)	bis(mu-N$1!,N$3!-bis[2,6-di(propan-2-yl)phenyl]-1,1,3,3-tetramethyldisiloxane-1,3-bis(aminido))-di-aluminium(i)-di-rubidium(i) hexane solvate				yellow		Air-sensitive,Moisture-sensitive,Oxygen-sensitive	I2/a	15	23.3817	17.4664	36.1	90.0	108.372	90.0	13991.578	17.4664	20.14266	23.3817	107.3353	90.0	115.6942	6995.787	1748.94725	2	8.0	1.0		block			4.44	100	1.171	1.171	3				WAWJEN	0	20220107	20220207	0	0	0	139	3	3			"CCDC: CCDC 2111090 "DOI: 10.1039/D1CC05379E	"TEMP: 100 K	"COLOR: yellow "HABIT: block "SENS: Air-sensitive,Moisture-sensitive,Oxygen-sensitive	
XAVMAM	Ga Yeon Lee?, Seungmin Yeo?, Seong Ho Han, Bo Keun Park, Taeyong Eom, Jeong Hwan Kim, Soo-Hyun Kim, Hyungjun Kim, Seung Uk Son, Taek-Mo Chung	Inorg.Chem. 	60	17722	2021	C24 H48 N4 O8 Zr1,0.5(C6 H14)	tetrakis(N-(methoxy)-2,2-dimethylpropanimidato)-zirconium(iv) n-hexane solvate				silver			P21/c	14	20.7891	22.4971	15.0188	90.0	102.719	90.0	6851.847	15.0188	20.7891	22.4971	90.0	90.0	102.719	6851.847	856.480875	2	8.0	2.0		block			3.32	100	1.27	1.27	3				XAVMAM	0	20211124	20211209	0	0	0	126	3	3			"CCDC: CCDC 2085116 "DOI: 10.1021/acs.inorgchem.1c02339	"TEMP: 100 K	"COLOR: silver "HABIT: block	
ZAKSUD	Wei Wei, Xin Xu, K.-H.Lee, Ran Lin, H.H.Y.Sung, I.D.Williams, Zhenyang Lin, Guochen Jia	Organometallics 	40	3753	2021	C25 H28 N1 O7 Re1,0.5(C6 H14)	tetracarbonyl-[5-(diethylamino)-3-ethoxy-2-(ethoxycarbonyl)-4-methylidene-1-phenylcyclopent-2-en-1-yl]-rhenium n-hexane solvate				yellow			P21/c	14	9.5777	22.0366	14.1198	90.0	108.99	90.0	2817.932	9.5777	14.1198	22.0366	90.0	90.0	108.99	2817.932	704.483	2	4.0	1.0		block			2.0	100	1.612	1.612	3				ZAKSUD	0	20211109	20211124	0	0	0	185	3	3			"CCDC: CCDC 2106225 "DOI: 10.1021/acs.organomet.1c00493	"TEMP: 100.2 K	"COLOR: yellow "HABIT: block	
ABICAP	E.Bleuel, O.Gevert, M.Laubender, H.Werner	Organometallics 	19	3109	2000	C32 H38 O1 P1 Rh1,0.5(C6 H14)	(eta$5!-1-(Diphenylmethyl)indenyl)-carbonyl-(triisopropylphosphine)-rhodium hexane solvate			56 deg.C(dec.)			moderately air-sensitive	P-1	2	9.445	11.505	14.9591	101.66	99.72	99.542	1535.117	9.445	11.505	14.9591	101.66	99.72	99.542	1535.117	767.5585	2	2.0	1.0					2.65	173	1.332	1.332	3				E5800802	444	20011017	20020712	758709	0	0	105	3	3			"DOI: 10.1021/om000188v	"TEMP: at 173 K	"MP: 56 deg.C(dec.) "SENS: moderately air-sensitive	
ACAMAV	S.Hohloch, M.E.Garner, B.F.Parker, J.Arnold	Dalton Trans. 	46	13768	2017	C68 H78 Cl2 N8 O2 Th2,C6 H14,C6 H6	bis(mu-chloro)-bis(6,8,15,17-tetramethyldibenzo[b,i][1,4,8,11]tetraazacyclotetradecinato)-bis(2,6-di(propan-2-yl)phenolato)-di-thorium benzene hexane solvate				yellow			P21/n	14	14.5644	25.043	20.6741	90.0	96.878	90.0	7486.327	14.5644	20.6741	25.043	90.0	90.0	96.878	7486.327	1871.58175	3	4.0	1.0		block			3.7	100	1.543	1.543	3				ACAMAV	0	20170929	20171017	0	0	0	180	3	3			"CCDC: CCDC 1554552 "DOI: 10.1039/C7DT02682J	"TEMP: 100 K	"COLOR: yellow "HABIT: block	
ADEBAO	A.V.Zabula, N.J.Sumner, A.S.Filatov, S.N.Spisak, V.M.Grigoryants, M.A.Petrukhina	Eur.J.Inorg.Chem. 		4675	2012	2(Cs1 1+),C42 H28 2-,0.67(C4 H10 O2),0.33(C6 H14)	di-cesium rubrene n-hexane 1,2-dimethoxyethane n-hexane solvate				black			P-1	2	13.338	14.189	16.036	72.485	77.808	82.367	2821.059	13.338	14.189	16.036	72.485	77.808	82.367	2821.059	940.353	4	3.0	1.5		cube			3.87	100	1.567	1.567	3				O5890902	993	20130201	20130201	0	0	0	91	3	3			"CCDC: CCDC 864113 "DOI: 10.1002/ejic.201200164	"TEMP: at 100 K	"COLOR: black "HABIT: cube	
ADUBOR	L.J.Hope-Weeks, M.J.Mays, G.A.Solan	Eur.J.Inorg.Chem. 		3101	2007	C40 H12 Co8 O27,0.5(C6 H14)	(mu!8$-eta$2!,eta$2!,eta$2!,eta$2!,eta$2!,eta$2!,eta$2!,eta$2!-1,6,13-Trioxa-cyclononadeca-3,8,10,15,17-pentayne)-tetrakis(hexacarbonyl-di-cobalt) n-hexane solvate				red			P-1	2	10.6824	15.9498	17.1603	74.682	80.721	73.67	2694.206	10.6824	15.9498	17.1603	74.682	80.721	73.67	2694.206	1347.103	2	2.0	1.0	dichloromethane/hexane	block			4.37	220	1.774	1.774	3				R0870505	766	20071017	20071017	0	0	0	91	3	3			"CCDC: CCDC 634741 "DOI: 10.1002/ejic.200700113	"TEMP: at 220 K	"COLOR: red "HABIT: block "SOURCE-CHEM: dichloromethane/hexane	
AFOKEL	Y.K.Gun'ko, S.D.Elliott, P.B.Hitchcock, M.F.Lappert	J.Chem.Soc.,Dalton Trans. 		1852	2002	C40 H90 Ce3 N1 O13,C6 H14	bis(mu!3$-t-Butoxo)-tris(mu!2$-t-butoxo)-pentakis(t-butoxy)-(nitrato-O,O')-di-cerium hexane solvate				green-brown			P21/c	14	18.266	17.094	19.994	90.0	105.34	90.0	6020.49	17.094	18.266	19.994	105.34	90.0	90.0	6020.49	1505.1225	2	4.0	1.0					4.66	173	1.434	1.434	3				G3470801	479	20020724	20020724	771519	0	0	125	3	3			"CCDC: CCDC 174007 "DOI: 10.1039/b110247h	"TEMP: at 173 K	"COLOR: green-brown	
AFOREV	D.Werner, R.Anwander	J.Am.Chem.Soc. 	140	14334	2018	C49 H109 Cr2 I2 O16 Si4,0.5(C6 H14)	(diiodomethyl)-bis(mu-tri-t-butyl hydrogenato orthosilicate)-bis(tri-t-butyl hydrogenato orthosilicate)-di-chromium hexane solvate				red / orange			P-1	2	13.6739	14.7859	19.0519	94.5434	107.6252	93.1097	3647.147	13.6739	14.7859	19.0519	94.5434	107.6252	93.1097	3647.147	1823.5735	2	2.0	1.0		block			2.87	100	1.336	1.336	3				AFOREV	0	20181004	20201014	0	0	0	127	3	3			"CCDC: CCDC 1811547 "DOI: 10.1021/jacs.8b08739	"TEMP: 100 K	"COLOR: red / orange "HABIT: block	
AGEHEZ	P.Leoni, F.Marchetti, M.Pasquali, L.Marchetti, A.Albinati	Organometallics 	21	2176	2002	C34 H73 N2 P3 Pt3,0.5(C6 H14)	tris(mu!2$-Di-t-butylphosphido)-bis(t-butylisocyanido)-hydrido-tri-platinum(i,ii) hexane solvate				deep red			P-1	2	11.122	15.408	15.447	71.82	86.743	69.475	2351.208	11.122	15.408	15.447	71.82	86.743	69.475	2351.208	1175.604	2	2.0	1.0		prism			3.22	293	1.739	1.739	3		at 293 K		G4270102	479	20020724	20020724	771801	0	0	128	3	3			"CCDC: CCDC 175514 "DOI: 10.1021/om020027m	"TEMP: at 293 K	"COLOR: deep red "HABIT: prism	
AGISUF	M.Yuki, Y.Miyake, Y.Nishibayashi, I.Wakiji, M.Hidai	Organometallics 	27	3947	2008	C37 H58 F3 Fe2 N2 O3 P4 S1 W1 1+,C1 F3 O3 S1 1-,C4 H8 O1,0.5(C6 H14)	BIS(1,1'-BIS(DIETHYLPHOSPHINO)FERROCENE)-(hydrazido-N)-(trifluoromethanesulfonato-O)-tungsten trifluoromethanesulfonate n-hexane tetrahydrofuran solvate				orange			P-1	2	10.9423	11.2199	23.4042	77.6402	78.933	83.6774	2747.423	10.9423	11.2199	23.4042	77.6402	78.933	83.6774	2747.423	1373.7115	4	2.0	1.0	tetrahydrofuran/ether/n-hexane	prism			3.05	173	1.634	1.634	3				T3710205	838	20090129	20090129	0	0	0	155	3	3			"CCDC: CCDC 704105 "DOI: 10.1021/om800327j	"TEMP: at 173.1 K	"COLOR: orange "HABIT: prism "SOURCE-CHEM: tetrahydrofuran/ether/n-hexane	
AHAVUA	S.Blaurock, E.Hey-Hawkins	Eur.J.Inorg.Chem. 		2975	2002	C38 H52 Cl2 P2 Ta2,0.5(C6 H14)	bis(mu!2$-2,4,6-Trimethylphenylphosphinidene)-bis(eta$5!-pentamethyl-cyclopentadienyl)-dichloro-di-tantalum(iv) hexane solvate			289deg.C(dec.)	red			P-1	2	8.727	12.6329	21.2748	104.018	91.234	99.577	2239.232	8.727	12.6329	21.2748	104.018	91.234	99.577	2239.232	1119.616	2	2.0	1.0		platelet			2.9	220	1.552	1.552	3				G8460407	504	20030206	20030206	785707	0	0	116	3	3			"CCDC: CCDC 181633 "DOI: 10.1002/1099-0682(200211)2002:11<2975::AID-EJIC2975>3.0.CO;2-1	"TEMP: at 220 K	"MP: 289deg.C(dec.) "COLOR: red "HABIT: platelet	
AHEDUN	J.Jimenez, A.Laguna, M.Benouazzane, J.A.Sanz, C.Diaz, M.L.Valenzuela, P.G.Jones	Chem.-Eur.J. 	15	13509	2009	C70 H24 Au2 F30 N5 O6 P3,3(C6 H14)	(mu!2$-6',6'-bis((pyridin-4-yl)oxy)dispiro[dibenzo[d,f][1,3,2]dioxaphosphepine-6,2'-[1,3,5,2,4,6]triazatriphosphinine-4',6''-dibenzo[d,f][1,3,2]dioxaphosphepine])-hexakis(pentafluorophenyl)-di-gold hexane solvate				colorless			C2/c	15	25.912	13.0033	28.509	90.0	115.792	90.0	8648.925	13.0033	14.49584	26.48526	82.6046	75.7897	63.3513	4324.461	2162.23125	2	4.0	0.5	hexane/dichloromethane	tablet			2.62	143	1.802	1.802	3				X1580301	901	20100830	20100830	0	0	0	181	3	3			"CCDC: CCDC 742490 "DOI: 10.1002/chem.200801223	"TEMP: at 143 K	"COLOR: colorless "HABIT: tablet "SOURCE-CHEM: hexane/dichloromethane	
AJENAE	D.R.Manke, D.G.Nocera	Inorg.Chem. 	42	4431	2003	C32 H54 B2 N4 O1 Zr1,0.5(C6 H14)	bis(bis(t-Butylamido)phenylborane)-tetrahydrofuran-zirconium n-hexane solvate				colorless			P21/n	14	10.8574	13.3389	26.086	90.0	91.119	90.0	3777.205	10.8574	13.3389	26.086	90.0	91.119	90.0	3777.205	944.30125	2	4.0	1.0	hexanes	block			4.28	183	1.172	1.172	3				H6740301	538	20031105	20031105	811831	0	0	137	3	3			"CCDC: CCDC 216601 "DOI: 10.1021/ic0340478	"TEMP: at 183 K	"COLOR: colorless "HABIT: block "SOURCE-CHEM: hexanes	
